inst	length	sigma	t	BRKGA	BRKGALlama3InstructFree	BRKGAGemini2.5Flash	BRKGAGPT4.1Mini	BRKGALlama4Maverick
1	100	2	20	54.000000	54.000000	54.000000	54.000000	54.000000
2	100	2	20	59.000000	59.000000	59.000000	59.000000	59.000000
3	100	2	20	58.000000	58.000000	58.000000	58.000000	58.000000
4	100	2	20	61.000000	61.000000	61.000000	61.000000	61.000000
5	100	2	20	60.000000	60.000000	60.000000	60.000000	60.000000
6	100	2	20	58.000000	58.000000	58.000000	58.000000	58.000000
7	100	2	20	59.000000	59.000000	59.000000	59.000000	59.000000
8	100	2	20	58.000000	58.000000	58.000000	58.000000	58.000000
9	100	2	20	61.000000	61.000000	61.000000	61.000000	61.000000
10	100	2	20	57.000000	57.000000	57.000000	57.000000	57.000000
11	100	2	20	59.000000	59.000000	59.000000	59.000000	59.000000
12	100	2	20	60.000000	60.000000	60.000000	60.000000	60.000000
13	100	2	20	58.000000	58.000000	58.000000	58.000000	58.000000
14	100	2	20	58.000000	58.000000	58.000000	58.000000	58.000000
15	100	2	20	60.000000	60.000000	60.000000	60.000000	60.000000
16	100	2	20	60.000000	60.000000	60.000000	60.000000	60.000000
17	100	2	20	56.000000	56.000000	56.000000	56.000000	56.000000
18	100	2	20	58.000000	58.000000	58.000000	58.000000	58.000000
19	100	2	20	60.000000	60.000000	60.000000	60.000000	60.000000
20	100	2	20	58.000000	58.000000	58.000000	58.000000	58.000000
21	100	2	20	58.000000	58.000000	58.000000	58.000000	58.000000
22	100	2	20	64.000000	64.000000	64.000000	64.000000	64.000000
23	100	2	20	60.000000	60.000000	60.000000	60.000000	60.000000
24	100	2	20	61.000000	61.000000	61.000000	61.000000	61.000000
25	100	2	20	62.000000	62.000000	62.000000	62.000000	62.000000
26	100	2	20	60.000000	60.000000	60.000000	60.000000	60.000000
27	100	2	20	60.000000	60.000000	60.000000	60.000000	60.000000
28	100	2	20	59.000000	59.000000	59.000000	59.000000	59.000000
29	100	2	20	59.000000	59.000000	59.000000	59.000000	59.000000
30	100	2	20	56.000000	56.000000	56.000000	56.000000	56.000000
1	100	4	20	41.000000	41.000000	41.000000	41.000000	41.000000
2	100	4	20	38.000000	38.000000	38.000000	38.000000	38.000000
3	100	4	20	36.000000	36.000000	36.000000	36.000000	36.000000
4	100	4	20	48.000000	48.000000	48.000000	48.000000	48.000000
5	100	4	20	38.000000	38.000000	38.000000	38.000000	38.000000
6	100	4	20	43.000000	43.000000	43.000000	43.000000	43.000000
7	100	4	20	42.000000	42.000000	42.000000	42.000000	42.000000
8	100	4	20	42.000000	42.000000	42.000000	42.000000	42.000000
9	100	4	20	42.000000	42.000000	42.000000	42.000000	42.000000
10	100	4	20	39.000000	39.000000	39.000000	39.000000	39.000000
11	100	4	20	43.000000	43.000000	43.000000	43.000000	43.000000
12	100	4	20	40.000000	40.000000	40.000000	40.000000	40.000000
13	100	4	20	40.000000	40.000000	40.000000	40.000000	40.000000
14	100	4	20	38.000000	38.000000	38.000000	38.000000	38.000000
15	100	4	20	40.000000	40.000000	40.000000	40.000000	40.000000
16	100	4	20	42.000000	42.000000	42.000000	42.000000	42.000000
17	100	4	20	42.000000	42.000000	42.000000	42.000000	42.000000
18	100	4	20	39.000000	39.000000	39.000000	39.000000	39.000000
19	100	4	20	40.000000	40.000000	40.000000	40.000000	40.000000
20	100	4	20	42.000000	42.000000	42.000000	42.000000	42.000000
21	100	4	20	41.000000	41.000000	41.000000	41.000000	41.000000
22	100	4	20	40.000000	40.000000	40.000000	40.000000	40.000000
23	100	4	20	39.000000	39.000000	39.000000	39.000000	39.000000
24	100	4	20	43.000000	43.000000	43.000000	43.000000	43.000000
25	100	4	20	46.000000	46.000000	46.000000	46.000000	46.000000
26	100	4	20	41.000000	41.000000	41.000000	41.000000	41.000000
27	100	4	20	40.000000	40.000000	40.000000	40.000000	40.000000
28	100	4	20	42.000000	42.000000	42.000000	42.000000	42.000000
29	100	4	20	43.000000	43.000000	43.000000	43.000000	43.000000
30	100	4	20	42.000000	42.000000	42.000000	42.000000	42.000000
1	100	8	20	35.000000	35.000000	35.000000	35.000000	35.000000
2	100	8	20	34.000000	34.000000	34.000000	34.000000	34.000000
3	100	8	20	35.000000	35.000000	35.000000	35.000000	35.000000
4	100	8	20	32.000000	32.000000	32.000000	32.000000	32.000000
5	100	8	20	36.000000	36.000000	36.000000	36.000000	36.000000
6	100	8	20	34.000000	34.000000	34.000000	34.000000	34.000000
7	100	8	20	34.000000	34.000000	34.000000	34.000000	34.000000
8	100	8	20	34.000000	34.000000	34.000000	34.000000	34.000000
9	100	8	20	34.000000	34.000000	34.000000	34.000000	34.000000
10	100	8	20	32.000000	32.000000	32.000000	32.000000	32.000000
11	100	8	20	37.000000	37.000000	37.000000	37.000000	37.000000
12	100	8	20	33.000000	33.000000	33.000000	33.000000	33.000000
13	100	8	20	30.000000	30.000000	30.000000	30.000000	30.000000
14	100	8	20	35.000000	35.000000	35.000000	35.000000	35.000000
15	100	8	20	31.000000	31.000000	31.000000	31.000000	31.000000
16	100	8	20	35.000000	35.000000	35.000000	35.000000	35.000000
17	100	8	20	33.000000	33.000000	33.000000	33.000000	33.000000
18	100	8	20	35.000000	35.000000	35.000000	35.000000	35.000000
19	100	8	20	37.000000	37.000000	37.000000	37.000000	37.000000
20	100	8	20	31.000000	31.000000	31.000000	31.000000	31.000000
21	100	8	20	32.000000	32.000000	32.000000	32.000000	32.000000
22	100	8	20	33.000000	33.000000	33.000000	34.000000	34.000000
23	100	8	20	33.000000	33.000000	33.000000	33.000000	33.000000
24	100	8	20	35.000000	35.000000	35.000000	35.000000	35.000000
25	100	8	20	35.000000	35.000000	35.000000	35.000000	35.000000
26	100	8	20	33.000000	33.000000	33.000000	33.000000	33.000000
27	100	8	20	33.000000	33.000000	33.000000	33.000000	33.000000
28	100	8	20	41.000000	41.000000	41.000000	41.000000	41.000000
29	100	8	20	32.000000	32.000000	32.000000	32.000000	32.000000
30	100	8	20	32.000000	32.000000	32.000000	32.000000	32.000000
1	100	16	20	35.000000	35.000000	35.000000	35.000000	35.000000
2	100	16	20	31.000000	31.000000	31.000000	31.000000	31.000000
3	100	16	20	35.000000	35.000000	35.000000	35.000000	35.000000
4	100	16	20	34.000000	33.000000	34.000000	34.000000	34.000000
5	100	16	20	35.000000	35.000000	35.000000	35.000000	35.000000
6	100	16	20	35.000000	35.000000	35.000000	35.000000	35.000000
7	100	16	20	32.000000	32.000000	33.000000	33.000000	33.000000
8	100	16	20	33.000000	33.000000	33.000000	33.000000	33.000000
9	100	16	20	35.000000	35.000000	35.000000	35.000000	35.000000
10	100	16	20	35.000000	35.000000	35.000000	35.000000	35.000000
11	100	16	20	33.000000	33.000000	33.000000	33.000000	33.000000
