alpha_1=0.25
alpha_2=0.25
alpha_4=0.25
alpha_3=0.25
beta_1=0.5
beta_2=0.5
beta_4=0.5
beta_3=0.5
beta_1=0.5
beta_2=0.5

958,0.007,0.044,0.033
959,0.500,0.120,0.007,0.034
960,0.500,0.120,0.007,0.031
961,0.500,0.120,0.007,0.034
962,0.500,0.120,0.007,0.031
963,0.500,0.120,0.007,0.031
964,0.500,0.120,0.007,0.031
965,0.500,0.120,0.007,0.031
966,0.500,0.120,0.007,0.031
967,0.500,0.120,0.007,0.031
968,0.500,0.120,0.007,0.031
969,0.500,0.120,0.007,0.031
970,0.500,0.120,0.007,0.031
971,0.500,0.120,0.007,0.031
972,0.500,0.120,0.007,0.031
973,0.500,0.120,0.007,0.031
974,0.500,0.120,0.007,0.031
975,0.500,0.120,0.007,0.031
976,0.500,0.120,0.007,0.031
977,0.500,0.120,0.007,0.031
978,0.500,0.120,0.007,0.031
979,0.500,0.120,0.007,0.031
980,0.500,0.120,0.007,0.031
981,0.500,0.120,0.007,0.031
982,0.500,0.120,0.007,0.031
983,0.500,0.120,0.007,0.031
984,0.500,0.120,0.007,0.031
985,0.500,0.120,0.007,0.031
986,0.500,0.120,0.007,0.031
987,0.500,0.120,0.007,0.031
988,0.500,0.120,0.007,0.031
989,0.500,0.120,0.007,0.031
990,0.500,0.120,0.007,0.031
991,0.500,0.120,0.007,0.031
992,0.500,0.120,0.007,0.031
993,0.500,0.120,0.007,0.031
994,0.500,0.120,0.007,0.031
995,0.500,0.120,0.007,0.031
996,0.500,0.120,0.007,0.031
997,0.500,0.120,0.007,0.031
998,0.500,0.120,0.007,0.031
999,0.500,0.120,0.007,0.031
1000,0.500,0.120,0.007,0.031
1001,0.500,0.120,0.007,0.031
1002,0.500,0.120,0.007,0.031
1003,0.500,0.120,0.007,0.031
1004,0.500,0.120,0.007,0.031
1005,0.500,0.120,0.007,0.031
1006,0.500,0.120,0.007,0.031
1007,0.500,0.120,0.007,0.031
1008,0.500,0.120,0.007,0
